age,qx
0,0.00015000000000000001
1,0.00015425
2,0.00015886125
3,0.00016386445625
4,0.00016929293503125
5,0.00017518283450890625
6,0.00018157337544216328
7,0.00018850711235474715
8,0.00019603021690490065
9,0.0002041927853418172
10,0.00021304917209587166
11,0.00022265835172402077
12,0.00023308431162056252
13,0.00024439647810831034
14,0.0002566701787475167
15,0.0002699871439410556
16,0.00028443605117604533
17,0.00030011311552600913
18,0.00031712273034571997
19,0.00033557816242510614
20,0.00035560230623124013
21,0.00037732850226089554
22,0.00040090142495307165
23,0.00042647804607408275
24,0.00045422867999037975
25,0.000484338117789562
26,0.0005170068578016747
27,0.0005524524407148171
28,0.0005909108981755766
29,0.0006326383245205006
30,0.0006779125821047431
31,0.0007270351515836463
32,0.0007803331394682561
33,0.0008381614563230579
34,0.0009009051801105177
35,0.0009689821204199117
36,0.0010428456006556042
37,0.0011229874767113306
38,0.0012099414122317936
39,0.001304286432271496
40,0.001406650779014573
41,0.0015177160952308119
42,0.0016382219633254307
43,0.0017689708302080925
44,0.00191083335077578
45,0.002064754185591721
46,0.0022317582913670177
47,0.002412957746133214
48,0.0026095591545545367
49,0.0028228716826916725
50,0.0030543157757204646
51,0.0033054326166567036
52,0.0035778943890725236
53,0.003873515412143688
54,0.004194264222175902
55,0.004542276681060853
56,0.004919870198951026
57,0.005329559165861863
58,0.00577407169496012
59,0.00625636778903173
60,0.006779659051099427
61,0.007347430070442879
62,0.007963461626430522
63,0.008631855864677117
64,0.009357063613174671
65,0.010143914020294518
66,0.010997646712019553
67,0.011923946682541214
68,0.012928982150557215
69,0.014019445633354579
70,0.015202598512189717
71,0.016486319385725843
72,0.01787915653351254
73,0.019390384838861106
74,0.0210300675501643
75,0.022809123291928263
76,0.024739398771742162
77,0.026833747667340247
78,0.029106116219064167
79,0.031571636097684624
80,0.03424672516598782
81,0.037149196805096776
82,0.04029837853353
83,0.043715240708880054
84,0.04742253616913485
85,0.05144495174351131
86,0.05580927264170977
87,0.06054456081625511
88,0.06568234848563678
89,0.0712568481069159
90,0.07730518019600376
91,0.08386762051266407
92,0.09098786825624051
93,0.09871333705802096
94,0.10709547070795274
95,0.11619008571812872
96,0.12605774300416964
97,0.13676415115952406
98,0.1483806040080836
99,0.16098445534877068
100,0.1746596340534162
101,0.18949720294795658
102,0.2055959651985329
103,0.22306312224040817
104,0.24201498763084284
105,0.26257776157946444
106,0.28488837131371897
107,0.309095382875385
108,0.33535999041979275
109,0.36385708960547514
110,0.3947764422219405
